,Make,Model,Transmission,Drive_configuration,Engine_capacity,Body_type,Seating,Fuel,crsp_ksh
591,Daihatsu,"BOON CILQ ""G PACKAGEV SA III 2WD""",Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2632444.434
592,Daihatsu,"BOON CILQ""G SA II",Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2573759.367
593,Daihatsu,"BOON CLIQ ""G SA III""",Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2895688.8774
594,Daihatsu,BOON STYLE,Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2364169.842
595,Daihatsu,"BOON STYLE""SA III""",Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2364169.842
596,Daihatsu,BOON X,Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2095895.2500000002
597,Daihatsu,BOON X L PACKAGE,Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2095895.2500000002
598,Daihatsu,"BOON X""L SA II""",Continuously variable transmission,2WD,996.0,HATCHBACK,5,PETROL,2053977.345
599,Daihatsu,CAST ACTIVA G,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2297101.1939999997
600,Daihatsu,"CAST ACTIVA G""SA III""",Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2196498.222
601,Daihatsu,CAST SPORT,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2556992.205
602,Daihatsu,"CAST SPORT SPORT ""SA III""",Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2556992.205
603,Daihatsu,CAST STYLE G,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2526811.3134
604,Daihatsu,CAST STYLE G,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2297101.1939999997
605,Daihatsu,"CAST STYLE G""SA III""",Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2196498.222
606,Daihatsu,COPEN CERO,Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,3259033.27794
607,Daihatsu,COPEN CERO,Continuously variable transmission,2WD,658.0,HATCHBACK,2,PETROL,2959404.093
608,Daihatsu,"COPEN CLIQ ""G SA III""",Continuously variable transmission,2WD,658.0,HATCHBACK,2,PETROL,3259033.27794
609,Daihatsu,COPEN G,Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,3166813.88694
610,Daihatsu,COPEN GR,Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,3994273.33164
611,Daihatsu,COPEN GR,Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,3627803.5321032
612,Daihatsu,COPEN GR SPORT,Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,3994273.33164
613,Daihatsu,COPEN GR SPORT,Continuously variable transmission,2WD,658.0,CONVERTIBLE,4,PETROL,3627803.5321032
614,Daihatsu,COPEN ROBE,Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,3166813.88694
615,Daihatsu,COPEN ROBE,Continuously variable transmission,2WD,658.0,CONVERTIBLE,4,PETROL,2875568.283
616,Daihatsu,COPEN ROBE,Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,2875568.283
617,Daihatsu,"COPEN STYLE ""SA III""",Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,3166813.88694
618,Daihatsu,"COPEN X ""L SA III""",Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,3994273.33164
619,Daihatsu,COPEN XPLAY,Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,3166813.88694
620,Daihatsu,COPEN XPLAY,Continuously variable transmission,2WD,658.0,CONVERTIBLE,4,PETROL,2875568.283
621,Daihatsu,COPEN XPLAY,Continuously variable transmission,2WD,658.0,CONVERTIBLE,2,PETROL,2875568.283
622,Daihatsu,GRAN MAX,Automatic transmission,4WD,1496.0,VAN,4,PETROL,3577502.0461031995
623,Daihatsu,GRAN MAX CARGO GL,Automatic transmission,4WD,1496.0,VAN,5,PETROL,3935252.9214
624,Daihatsu,GRAN MAX GL,Automatic transmission,4WD,1496.0,TRUCK,2,PETROL,3569728.7898000004
625,Daihatsu,GRAN MAXV GL,Automatic transmission,4WD,1496.0,TRUCK,2,PETROL,3245208.752871
626,Daihatsu,HIJET CADDIE D,Continuously variable transmission,2WD,658.0,VAN,2,PETROL,1953374.373
627,Daihatsu,HIJET CADDIE D DELUXE,Continuously variable transmission,2WD,658.0,VAN,2,PETROL,1953374.373
628,Daihatsu,HIJET CADDLE D DELUXE,Continuously variable transmission,2WD,658.0,VAN,2,PETROL,1953374.373
629,Daihatsu,HIJET CARGO DECKVAN,Automatic transmission,4WD,658.0,VAN,4,PETROL,2511720.8676
630,Daihatsu,HIJET CARGO DECKVAN G,Automatic transmission,4WD,658.0,VAN,,PETROL,2762892.95436
631,Daihatsu,HIJET CARGO DECKVAN G,Continuously variable transmission,4WD,658.0,VAN,4,PETROL,2858801.121
632,Daihatsu,HIJET CARGO DECKVAN G,Automatic transmission,4WD,658.0,VAN,4,PETROL,2511720.8676
633,Daihatsu,HIJET CARGO DECKVAN GL,Automatic transmission,4WD,658.0,VAN,4,PETROL,2251989.144639
634,Daihatsu,HIJET CARGO DELUXE,Automatic transmission,2WD,658.0,VAN,4,PETROL,1810853.496
635,Daihatsu,HIJET CARGO DELUXE,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2028826.6020000002
636,Daihatsu,HIJET CARGO DELUXE,Manual transmission,2WD,658.0,VAN,2(4),PETROL,1596872.6512722
637,Daihatsu,HIJET CARGO DELUXE,Automatic transmission,2WD,658.0,VAN,4,PETROL,1794086.334
638,Daihatsu,HIJET JUMBO,Automatic transmission,2WD,658.0,TRUCK,2,PETROL,1936607.2110000001
639,Daihatsu,HIJET SLOPER,Automatic transmission,4WD,658.0,VAN,5,PETROL,3034856.322
640,Daihatsu,HIJET SLOPER,Continuously variable transmission,4WD,658.0,VAN,4,PETROL,3060007.0650000004
641,Daihatsu,HIJET SLOPER,Automatic transmission,4WD,658.0,VAN,4,PETROL,3018089.1599999997
642,Daihatsu,HIJET TRUCK,Manual transmission,4WD,658.0,TRUCK,2,PETROL,2280334.032
643,Daihatsu,HIJET TRUCK,Automatic transmission,4WD,658.0,TRUCK,,PETROL,3495114.9189
644,Daihatsu,HIJET TRUCK,Automatic transmission,4WD,658.0,TRUCK,2,PETROL,3085157.8079999997
645,Daihatsu,HIJET TRUCK ALUMINIUM MODERATE TEMP REFRIGERATING,Automatic transmission,4WD,658.0,TRUCK,2,PETROL,3541224.6144000003
646,Daihatsu,HIJET TRUCK COLOR ALUMINIUM MODERATE REFRIGERATING TRUCK,Automatic transmission,4WD,658.0,TRUCK,2,PETROL,3541224.6144000003
647,Daihatsu,HIJET TRUCK Color Alumiunium Moderate Temperature refrigerating Truck,Automatic transmission,4WD,658.0,TRUCK,2,PETROL,3177377.199
648,Daihatsu,HIJET TRUCK COLOR MODERATE TEMPERATURE REFRIGERATING TRUCK,Automatic transmission,4WD,658.0,TRUCK,2,PETROL,3541224.6144000003
649,Daihatsu,HIJET TRUCK EXTRA,Manual transmission,2WD,658.0,TRUCK,2,PETROL,1618031.133
650,Daihatsu,HIJET TRUCK EXTRA,Continuously variable transmission,4WD,658.0,TRUCK,2,PETROL,2220307.59204
651,Daihatsu,HIJET TRUCK EXTRA,Manual transmission,2WD,658.0,TRUCK,2,PETROL,1609647.552
652,Daihatsu,HIJET TRUCK JUMBO,Manual transmission,2WD,658.0,TRUCK,2,PETROL,1794086.334
653,Daihatsu,HIJET TRUCK JUMBO,Continuously variable transmission,4WD,658.0,TRUCK,2,PETROL,2434591.9224
654,Daihatsu,HIJET TRUCK JUMBO,Automatic transmission,2WD,658.0,TRUCK,2,PETROL,1936607.2110000001
655,Daihatsu,HIJET TRUCK JUMBO EXTRA,Continuously variable transmission,4WD,658.0,TRUCK,2,PETROL,2434591.9224
656,Daihatsu,HIJET TRUCK MODERATE TEMPERATURE REFRIGERATING TRUCK,Automatic transmission,4WD,658.0,TRUCK,2,PETROL,3085157.8079999997
657,Daihatsu,HIJET TRUCK MULTIPURPOSE DUMP,Manual transmission,4WD,658.0,TRUCK,2,PETROL,2255183.2890000003
658,Daihatsu,HIJET TRUCK PANEL VAN,Automatic transmission,4WD,658.0,TRUCK,2,PETROL,2204881.8030000003
659,Daihatsu,HIJET TRUCK PANEL VAN,Continuously variable transmission,4WD,658.0,TRUCK,2,PETROL,2563699.0697999997
660,Daihatsu,HIJET TRUCK PANEL VAN,Automatic transmission,4WD,658.0,TRUCK,2,PETROL,2075774.6556000002
661,Daihatsu,HIJET TRUCK PTO,Manual transmission,4WD,658.0,TRUCK,2,PETROL,2347402.68
662,Daihatsu,HIJET TRUCK VEHICLE TAIL,Manual transmission,4WD,658.0,TRUCK,,PETROL,2508367.4352
663,Daihatsu,HIJET TRUCK VERTICAL LIFT,Continuously variable transmission,4WD,658.0,TRUCK,2,PETROL,2748137.8518
664,Daihatsu,HIJET TRUCK VERTICAL TAIL LIFT,Manual transmission,4WD,658.0,TRUCK,2,PETROL,2748137.8518
665,Daihatsu,HIJET TRUCK VERTICAL TAIL LIFT,Manual transmission,4WD,658.0,TRUCK,2,PETROL,2179731.06
666,Daihatsu,HUJET TRUCK JUMBO,Manual transmission,2WD,658.0,TRUCK,,PETROL,1973494.9674000002
667,Daihatsu,MEBIUS S,Continuously variable transmission,2WD,1797.0,WAGON,5,PETROL,4879942.77375
668,Daihatsu,MEBIUS S TOURING,Continuously variable transmission,2WD,1797.0,WAGON,5,PETROL,4879942.77375
669,Daihatsu,"MEBIUS S""TOURING SELECTION""",Continuously variable transmission,2WD,1797.0,WAGON,5,PETROL,4741168.309509374
670,Daihatsu,MIRA,Manual transmission,2WD,658.0,WAGON,4,PETROL,1373311.0501776
671,Daihatsu,MIRA COCOA,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2179731.06
672,Daihatsu,MIRA E:S,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,1877922.144
673,Daihatsu,MIRA E:S G,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,1877922.144
674,Daihatsu,MIRA G,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,1877922.144
675,Daihatsu,MIRA TOCOT G,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2012059.44
676,Daihatsu,MIRA TOCOT G,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2102602.1148
677,Daihatsu,MIRA TOCOT G,Continuously variable transmission,2WD,658.0,WAGON,4,PETROL,2012059.44
678,Daihatsu,MIRA VAN TX,Continuously variable transmission,2WD,658.0,VAN,2(4),PETROL,1253544.8887278
679,Daihatsu,MOVE CANBUS,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2655918.4608
680,Daihatsu,MOVE CANBUS G,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2414471.328
681,Daihatsu,"MOVE CANBUS G""MAKE SA"" III",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2397704.166
682,Daihatsu,MOVE CANBUS STRIPES G,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2803469.4864
683,Daihatsu,MOVE CANBUS THEORY G,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,3006352.1466
684,Daihatsu,MOVE CANBUSV G,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2414471.328
685,Daihatsu,MOVE CUSTOM RS,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2523457.881
686,Daihatsu,MOVE CUSTOM RS,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2523457.881
687,Daihatsu,"MOVE CUSTOM RS""HYPER SA II""",Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2523457.881
688,Daihatsu,MOVE CUSTOM X,Continuously variable transmission,2WD,658.0,VAN,4,PETROL,2538548.3268
